"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
305758.8,-85,-442,0,0,-576.252,8.671354,30,-154,-58,-69,0
309343.8,-92,-442,0,0,-576.252,8.824815,24,-159,7,18,0
311136.3,-96,-442,0,0,-576.252,8.824815,21,-159,-22,-33,0
314721.6,-99,-442,0,0,-576.252,8.97774,13,-160,-28,-27,0
316514.3,-102,-442,0,0,-576.252,8.97774,11,-160,6,18,0
320099.8,-104,-442,0,0,-576.252,9.130799,6,-161,17,6,0
321892.7,-103,-442,0,0,-576.252,9.181795,6,-161,-28,-27,0
327271.5,-102,-442,0,0,-576.252,9.283755,2,-163,-23,-12,0
327271.5,-99,-442,0,0,-576.252,9.334746,2,-163,17,6,0
332650.9,-93,-442,0,0,-576.252,9.436482,4,-163,2,-9,0
334444.1,-91,-442,0,0,-576.252,9.487704,4,-164,-23,-12,0
338030.7,-81,-442,0,0,-576.252,9.589444,6,-165,-8,3,0
339824,-80,-442,0,0,-576.252,9.640814,8,-165,2,-9,0
343410.9,-70,-442,0,0,-576.252,9.742534,12,-166,-10,-21,0
345204.4,-68,-442,0,0,-576.252,9.79379,13,-167,-11,0,0
348791.6,-64,-442,0,0,-576.252,9.895939,19,-167,4,15,0
348791.6,-62,-442,0,0,-576.252,9.946885,21,-167,-4,-4,0
352379.1,-63,-442,0,0,-576.252,10.10016,25,-167,0,0,0
354173,-63,-442,0,0,-576.252,10.10016,27,-167,0,0,0
355966.8,-64,-442,0,0,-576.252,10.15072,29,-167,0,0,0
361348.8,-73,-442,0,0,-576.252,10.30367,30,-167,0,0,0
363142.9,-75,-442,0,0,-576.252,10.35458,29,-167,0,0,0
366731.2,-84,-442,0,0,-576.252,10.45702,26,-167,0,0,0
368525.4,-86,-442,0,0,-576.252,10.50764,25,-167,0,0,0
370319.7,-90,-442,0,0,-576.252,10.55892,24,-167,0,0,0
373908.5,-97,-442,0,0,-576.252,10.66099,18,-167,0,0,0
375702.9,-99,-442,0,0,-576.252,10.71229,16,-167,0,0,0
381086.5,-104,-442,0,0,-576.252,10.86548,7,-167,0,0,0
384675.9,-103,-442,0,0,-576.252,11.01836,2,-167,0,0,0
386470.6,-103,-442,0,0,-576.252,11.01836,1,-167,0,0,0
390060.3,-98,-442,0,0,-576.252,11.17135,0,-167,0,0,0
391855.2,-96,-442,0,0,-576.252,11.22175,0,-167,0,0,0
395445.2,-90,-442,0,0,-576.252,11.32435,1,-167,0,0,0
397240.2,-86,-442,0,0,-576.252,11.37491,2,-167,0,0,0
402625.7,-78,-442,0,0,-576.252,11.47755,7,-167,0,0,0
404420.9,-75,-442,0,0,-576.252,11.52779,10,-167,0,0,0
408011.6,-68,-442,0,0,-576.252,11.63031,16,-167,0,0,0
409807,-66,-442,0,0,-576.252,11.68087,18,-167,0,0,0
413398,-62,-442,0,0,-576.252,11.78345,23,-167,0,0,0
415193.6,-62,-442,0,0,-576.252,11.83387,25,-167,0,0,0
418784.8,-64,-442,0,0,-576.252,11.9365,29,-167,0,0,0
420580.6,-66,-442,0,0,-576.252,11.98693,29,-167,0,0,0
422376.3,-67,-442,0,0,-576.252,12.03795,30,-167,0,0,0
425968,-74,-442,0,0,-576.252,12.14033,29,-167,0,0,0
427764,-76,-442,0,0,-576.252,12.19094,27,-167,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
0,0,0,0,0,-576.252,0,0,0,0,0,0
